TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 6PM EDT AUG 27 2013 CLOUDY    78  68  71 SW10      29.98R                     .
 7PM EDT AUG 27 2013 CLOUDY    76  68  76 SW7       29.98S                     .
 8PM EDT AUG 27 2013 MOCLDY    75  68  78 SW3       29.99R                     .
 9PM EDT AUG 27 2013 CLOUDY    74  68  81 CALM      29.98F                     .
10PM EDT AUG 27 2013 CLOUDY    73  68  84 S5        29.98S                     .
11PM EDT AUG 27 2013 CLOUDY    73  69  87 S3        29.98S                     .
12AM EDT AUG 28 2013 CLOUDY    73  69  87 S3        29.98S                     .
 1AM EDT AUG 28 2013 LGT RAIN  72  70  93 S3        29.96F FOG                 .
 2AM EDT AUG 28 2013 LGT RAIN  72  70  93 S3        29.93F FOG                 .
 3AM EDT AUG 28 2013 LGT RAIN  74  71  91 SW6       29.91F FOG                 .
 4AM EDT AUG 28 2013 RAIN      72  71  97 E7        29.91F FOG                 .
 5AM EDT AUG 28 2013 CLOUDY    73  70  90 N5        29.92R FOG                 .
 6AM EDT AUG 28 2013 CLOUDY    72  70  93 CALM      29.92S FOG                 .
 7AM EDT AUG 28 2013 LGT RAIN  72  70  93 S5        29.92S FOG                 .
 8AM EDT AUG 28 2013 FOG       72  72 100 SE6       29.91F VSB 1               .
 9AM EDT AUG 28 2013 FOG       73  71  93 S5        29.90F VSB 1               .
10AM EDT AUG 28 2013 LGT RAIN  73  71  93 S7        29.90S VSB 1               .
11AM EDT AUG 28 2013 CLOUDY    75  72  88 SW7       29.88S FOG                 .
12PM EDT AUG 28 2013 LGT RAIN  76  71  85 SW9       29.87F                     .
 1PM EDT AUG 28 2013 DRIZZLE   76  71  85 SW7       29.87S                     .
 2PM EDT AUG 28 2013 LGT RAIN  78  72  81 W10       29.87S                     .
 3PM EDT AUG 28 2013 PTSUNNY   80  71  74 W10G21    29.86F                     .
 4PM EDT AUG 28 2013 CLOUDY    80  70  71 NW14      29.86S                     .
 5PM EDT AUG 28 2013 PTSUNNY   83  70  64 NW12G18   29.85F HX  87              .
 6PM EDT AUG 28 2013 LGT RAIN  79  71  76 N9        29.85S                     .
 7PM EDT AUG 28 2013 PTSUNNY   80  70  71 N13G18    29.86R                     .
 8PM EDT AUG 28 2013 CLOUDY    76  70  82 N10       29.89R                     .
 9PM EDT AUG 28 2013 PTCLDY    73  69  87 N8        29.92R                     .
10PM EDT AUG 28 2013 CLOUDY    73  68  84 N5        29.94R                     .
11PM EDT AUG 28 2013 CLOUDY    73  69  87 N7        29.95R                     .
12AM EDT AUG 29 2013 MOCLDY    73  69  87 N9        29.95S                     .
 1AM EDT AUG 29 2013 PTCLDY    72  69  90 N8        29.95S                     .
 2AM EDT AUG 29 2013 MOCLDY    71  69  93 N9        29.95S                     .
 3AM EDT AUG 29 2013 CLOUDY    71  68  90 N8        29.96R                     .
 4AM EDT AUG 29 2013 CLOUDY    71  68  90 N9        29.96S                     .
 5AM EDT AUG 29 2013 CLOUDY    71  68  90 N6        29.98R                     .
 6AM EDT AUG 29 2013 CLOUDY    71  67  87 N7        29.99R                     .
 7AM EDT AUG 29 2013 PTCLDY    70  67  90 NE6       30.01R                     .
 8AM EDT AUG 29 2013 MOSUNNY   70  67  90 NE5       30.03R                     .
 9AM EDT AUG 29 2013 CLOUDY    69  66  90 E7        30.04S                     .
10AM EDT AUG 29 2013 PTSUNNY   72  66  81 NE6       30.06R                     .
11AM EDT AUG 29 2013 PTSUNNY   74  66  76 E3        30.06S                     .
12PM EDT AUG 29 2013 PTSUNNY   77  65  66 E6        30.07R                     .
 1PM EDT AUG 29 2013 MOSUNNY   81  65  58 VRB7      30.06F                     .
 2PM EDT AUG 29 2013 MOSUNNY   81  64  56 VRB3      30.06S                     .
 3PM EDT AUG 29 2013 MOSUNNY   84  64  50 NE5       30.04F HX  85              .
 4PM EDT AUG 29 2013 MOSUNNY   83  63  50 NE6       30.04S                     .
 5PM EDT AUG 29 2013 MOSUNNY   84  62  47 CALM      30.03F HX  85              .
 6PM EDT AUG 29 2013 MOSUNNY   85  62  46 NE5       30.04R HX  85              .
 7PM EDT AUG 29 2013 PTCLDY    83  61  47 NE5       30.03F                     .
 8PM EDT AUG 29 2013 PTCLDY    81  63  54 NE3       30.04R                     .
 9PM EDT AUG 29 2013 PTCLDY    79  63  57 CALM      30.04S                     .
10PM EDT AUG 29 2013 CLEAR     76  64  66 CALM      30.05R                     .
11PM EDT AUG 29 2013 CLEAR     72  64  76 CALM      30.05S                     .
12AM EDT AUG 30 2013 CLEAR     70  64  81 CALM      30.04F                     .
 1AM EDT AUG 30 2013 CLEAR     70  65  84 CALM      30.03F                     .
 2AM EDT AUG 30 2013 FAIR      67  64  90 CALM      30.03S                     .
 3AM EDT AUG 30 2013 CLEAR     67  64  90 CALM      30.02F                     .
 4AM EDT AUG 30 2013 PTCLDY    67  63  87 CALM      30.02S                     .
 5AM EDT AUG 30 2013 PTCLDY    66  63  90 CALM      30.02S                     .
 6AM EDT AUG 30 2013 PTCLDY    65  62  90 CALM      30.02S                     .
 7AM EDT AUG 30 2013 MOCLDY    65  62  90 CALM      30.02S                     .
 8AM EDT AUG 30 2013 PTSUNNY   66  63  90 CALM      30.03R FOG                 .
 9AM EDT AUG 30 2013 PTSUNNY   70  65  84 CALM      30.03S                     .
10AM EDT AUG 30 2013 MOSUNNY   75  67  76 VRB5      30.02F                     .
11AM EDT AUG 30 2013 PTSUNNY   78  67  68 SW8       30.02S                     .
12PM EDT AUG 30 2013 MOSUNNY   82  68  62 SW8       30.00F HX  85              .
 1PM EDT AUG 30 2013 PTSUNNY   83  67  58 SW7       29.98F HX  85              .
 2PM EDT AUG 30 2013 MOSUNNY   85  66  53 W6        29.96F HX  87              .
 3PM EDT AUG 30 2013 PTSUNNY   85  66  53 SW5       29.95F HX  87              .
 4PM EDT AUG 30 2013 MOSUNNY   86  66  51 SW10      29.93F HX  88              .
 5PM EDT AUG 30 2013 MOSUNNY   84  66  54 SW7       29.92F HX  86              .
 6PM EDT AUG 30 2013 MOSUNNY   85  66  53 SW8       29.89F HX  87              .
 7PM EDT AUG 30 2013 PTCLDY    84  66  54 SW8       29.87F HX  86              .
 8PM EDT AUG 30 2013 PTCLDY    81  67  62 CALM      29.88R                     .
 9PM EDT AUG 30 2013 PTCLDY    78  68  71 SW3       29.90R                     .
10PM EDT AUG 30 2013 CLEAR     78  67  68 SW6       29.89F                     .
11PM EDT AUG 30 2013 CLEAR     77  67  71 SW5       29.89S                     .
12AM EDT AUG 31 2013 PTCLDY    76  67  73 SW6       29.87F                     .
 1AM EDT AUG 31 2013 MOCLDY    75  67  76 SW6       29.88R                     .
 2AM EDT AUG 31 2013 MOCLDY    74  67  78 SW8       29.86F                     .
 3AM EDT AUG 31 2013 MOCLDY    74  67  78 SW8       29.86S                     .
 4AM EDT AUG 31 2013 CLOUDY    73  67  81 SW8       29.84F                     .
 5AM EDT AUG 31 2013 CLOUDY    72  67  84 S6        29.84S                     .
 6AM EDT AUG 31 2013 CLOUDY    71  67  87 S5        29.83F                     .
 7AM EDT AUG 31 2013 CLOUDY    71  67  87 S3        29.85R                     .
 8AM EDT AUG 31 2013 LGT RAIN  73  67  81 CALM      29.86R                     .
 9AM EDT AUG 31 2013 CLOUDY    72  67  84 S3        29.85F                     .
10AM EDT AUG 31 2013 CLOUDY    74  67  78 SW3       29.87R                     .
11AM EDT AUG 31 2013 PTSUNNY   75  67  76 S7        29.88R                     .
12PM EDT AUG 31 2013 MOSUNNY   78  67  68 SW7       29.88S                     .
 1PM EDT AUG 31 2013 PTSUNNY   83  65  54 SW7       29.86F HX  85              .
 2PM EDT AUG 31 2013 MOSUNNY   82  65  56 S8        29.85F                     .
 3PM EDT AUG 31 2013 MOSUNNY   83  64  52 SW9       29.84F                     .
 4PM EDT AUG 31 2013 MOSUNNY   85  65  51 W8        29.83F HX  86              .
 5PM EDT AUG 31 2013 PTSUNNY   84  65  52 SW8       29.82F HX  86              .
 6PM EDT AUG 31 2013 MOSUNNY   84  68  58 VRB5      29.81F HX  87              .
 7PM EDT AUG 31 2013 PTCLDY    82  68  62 SW5       29.81S HX  85              .
