TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 2PM EDT MAY 27 2013 LGT RAIN  59  41  51 SW7       30.24F                     .
 3PM EDT MAY 27 2013 CLOUDY    59  42  53 S5        30.21F                     .
 4PM EDT MAY 27 2013 CLOUDY    59  43  55 S6        30.21S                     .
 5PM EDT MAY 27 2013 CLOUDY    60  41  49 S6        30.18F                     .
 6PM EDT MAY 27 2013 CLOUDY    60  43  53 CALM      30.19R                     .
 7PM EDT MAY 27 2013 CLOUDY    60  43  53 E8        30.15F                     .
 8PM EDT MAY 27 2013 CLOUDY    59  44  57 E6        30.15S                     .
 9PM EDT MAY 27 2013 CLOUDY    58  43  57 E6        30.13F                     .
10PM EDT MAY 27 2013 CLOUDY    57  45  64 E3        30.13S                     .
11PM EDT MAY 27 2013 CLOUDY    58  45  62 SE6       30.12F                     .
12AM EDT MAY 28 2013 CLOUDY    58  46  64 E5        30.10F                     .
 1AM EDT MAY 28 2013 LGT RAIN  57  48  72 E5        30.09F                     .
 2AM EDT MAY 28 2013 LGT RAIN  55  50  83 NE9       30.08F                     .
 3AM EDT MAY 28 2013 LGT RAIN  54  50  86 E6        30.06F                     .
 4AM EDT MAY 28 2013 CLOUDY    55  51  86 E6        30.04F                     .
 5AM EDT MAY 28 2013 LGT RAIN  55  52  89 SE5       30.03F                     .
 6AM EDT MAY 28 2013 LGT RAIN  55  52  89 SE7       30.04R FOG                 .
 7AM EDT MAY 28 2013 CLOUDY    56  54  93 SE6       30.05R                     .
 8AM EDT MAY 28 2013 LGT RAIN  58  55  90 SE3       30.05S                     .
 9AM EDT MAY 28 2013 LGT RAIN  59  57  93 CALM      30.07R                     .
10AM EDT MAY 28 2013 LGT RAIN  62  59  90 SW6       30.08R FOG                 .
11AM EDT MAY 28 2013 CLOUDY    65  60  84 SW3       30.09R                     .
12PM EDT MAY 28 2013 CLOUDY    68  60  75 SW5       30.08F                     .
 1PM EDT MAY 28 2013 LGT RAIN  70  61  73 SW8       30.08S                     .
 2PM EDT MAY 28 2013 CLOUDY    73  62  68 S6        30.05F                     .
 3PM EDT MAY 28 2013 PTSUNNY   78  63  59 SW13      30.04F                     .
 4PM EDT MAY 28 2013 PTSUNNY   78  60  53 SW16G24   30.03F                     .
 5PM EDT MAY 28 2013 PTSUNNY   79  61  53 S12G22    30.02F                     .
 6PM EDT MAY 28 2013 PTSUNNY   80  61  52 S13       30.00F                     .
 7PM EDT MAY 28 2013 PTSUNNY   78  60  53 SW13G18   29.99F                     .
 8PM EDT MAY 28 2013 MOCLDY    77  60  55 S7        30.00R                     .
 9PM EDT MAY 28 2013 MOCLDY    75  60  59 S3        30.00S                     .
10PM EDT MAY 28 2013 PTCLDY    71  60  68 S6        30.01R                     .
11PM EDT MAY 28 2013 PTCLDY    71  60  68 S6        30.02R                     .
12AM EDT MAY 29 2013 PTCLDY    71  60  68 S6        30.02S                     .
 1AM EDT MAY 29 2013 MOCLDY    71  59  65 S5        30.03R                     .
 2AM EDT MAY 29 2013 PTCLDY    72  59  63 SW7       30.03S                     .
 3AM EDT MAY 29 2013 MOCLDY    72  58  61 SW7       30.03S                     .
 4AM EDT MAY 29 2013 MOCLDY    72  58  61 SW9       30.02F                     .
 5AM EDT MAY 29 2013 MOCLDY    71  57  61 SW9       30.04R                     .
 6AM EDT MAY 29 2013 CLOUDY    70  57  63 S7        30.04S                     .
 7AM EDT MAY 29 2013 CLOUDY    70  57  63 SW7       30.07R                     .
 8AM EDT MAY 29 2013 PTSUNNY   71  58  63 SW7       30.08R                     .
 9AM EDT MAY 29 2013 PTSUNNY   74  58  57 SW10G18   30.09R                     .
10AM EDT MAY 29 2013 PTSUNNY   75  59  57 SW10      30.09S                     .
11AM EDT MAY 29 2013 PTSUNNY   78  58  49 SW10G21   30.08F                     .
12PM EDT MAY 29 2013 CLOUDY    78  59  51 SW9       30.09R                     .
 1PM EDT MAY 29 2013 CLOUDY    81  58  45 SW15      30.09S                     .
 2PM EDT MAY 29 2013 MOSUNNY   82  59  45 S13G22    30.08F                     .
 3PM EDT MAY 29 2013 MOSUNNY   84  60  44 SW14G20   30.08S                     .
 4PM EDT MAY 29 2013 PTSUNNY   83  59  44 SW9G18    30.08S                     .
 5PM EDT MAY 29 2013 PTSUNNY   84  58  40 SW13G22   30.08S                     .
 6PM EDT MAY 29 2013 PTSUNNY   84  57  39 W10G21    30.07F                     .
 7PM EDT MAY 29 2013 MOSUNNY   83  57  41 SW10      30.07S                     .
 8PM EDT MAY 29 2013 PTCLDY    82  57  42 SW8       30.08R                     .
 9PM EDT MAY 29 2013 PTCLDY    79  56  45 SW6       30.08S                     .
10PM EDT MAY 29 2013 PTCLDY    76  57  51 S5        30.08S                     .
11PM EDT MAY 29 2013 PTCLDY    73  58  59 S5        30.09R                     .
12AM EDT MAY 30 2013 CLEAR     73  58  59 S6        30.10R                     .
 1AM EDT MAY 30 2013 PTCLDY    71  58  63 CALM      30.12R                     .
 2AM EDT MAY 30 2013 PTCLDY    70  58  65 CALM      30.12S                     .
 3AM EDT MAY 30 2013 PTCLDY    66  58  75 CALM      30.13R                     .
 4AM EDT MAY 30 2013 PTCLDY    66  58  75 CALM      30.14R                     .
 5AM EDT MAY 30 2013 MOCLDY    66  58  75 CALM      30.15R                     .
 6AM EDT MAY 30 2013 MOCLDY    64  58  80 CALM      30.16R                     .
 7AM EDT MAY 30 2013 PTSUNNY   64  58  80 CALM      30.16S                     .
 8AM EDT MAY 30 2013 MOSUNNY   69  60  73 CALM      30.18R                     .
 9AM EDT MAY 30 2013 MOSUNNY   76  61  59 SW6       30.19R                     .
10AM EDT MAY 30 2013 MOSUNNY   80  63  55 SW7       30.21R                     .
11AM EDT MAY 30 2013 PTSUNNY   81  62  52 SW7       30.20F                     .
12PM EDT MAY 30 2013 CLOUDY    83  63  50 W10       30.19F                     .
 1PM EDT MAY 30 2013 CLOUDY    84  63  49 W9        30.19S HX  85              .
 2PM EDT MAY 30 2013 CLOUDY    85  59  41 SW7       30.18F                     .
 3PM EDT MAY 30 2013 CLOUDY    85  59  41 SW9       30.17F                     .
 4PM EDT MAY 30 2013 CLOUDY    85  58  39 SW6       30.16F                     .
 5PM EDT MAY 30 2013 CLOUDY    85  61  44 CALM      30.14F HX  85              .
 6PM EDT MAY 30 2013 PTSUNNY   86  59  39 SW6       30.12F HX  85              .
 7PM EDT MAY 30 2013 PTSUNNY   85  60  42 VRB5      30.11F HX  85              .
 8PM EDT MAY 30 2013 MOCLDY    85  61  44 S3        30.11S HX  85              .
 9PM EDT MAY 30 2013 PTCLDY    81  62  52 CALM      30.10F                     .
10PM EDT MAY 30 2013 PTCLDY    78  63  59 CALM      30.12R                     .
11PM EDT MAY 30 2013 PTCLDY    76  63  64 CALM      30.12S                     .
12AM EDT MAY 31 2013 PTCLDY    73  63  70 CALM      30.12S                     .
 1AM EDT MAY 31 2013 PTCLDY    70  63  78 CALM      30.12S                     .
 2AM EDT MAY 31 2013 MOCLDY    69  62  78 CALM      30.12S                     .
 3AM EDT MAY 31 2013 MOCLDY    68  62  81 SE3       30.12S                     .
 4AM EDT MAY 31 2013 MOCLDY    66  62  87 S3        30.12S                     .
 5AM EDT MAY 31 2013 MOCLDY    67  62  84 S3        30.12S                     .
 6AM EDT MAY 31 2013 PTCLDY    68  61  78 S6        30.12S                     .
 7AM EDT MAY 31 2013 MOSUNNY   69  60  73 S5        30.13R                     .
 8AM EDT MAY 31 2013 MOSUNNY   71  61  70 S3        30.13S                     .
 9AM EDT MAY 31 2013 MOSUNNY   75  60  59 SW8       30.13S                     .
10AM EDT MAY 31 2013 MOSUNNY   78  61  55 SW8       30.13S                     .
11AM EDT MAY 31 2013 MOSUNNY   81  61  50 SW9       30.13S                     .
12PM EDT MAY 31 2013 MOSUNNY   82  61  48 W10G17    30.12F                     .
 1PM EDT MAY 31 2013 MOSUNNY   83  61  47 SW6       30.11F                     .
 2PM EDT MAY 31 2013 MOSUNNY   85  60  42 S13G21    30.09F HX  85              .
 3PM EDT MAY 31 2013 PTSUNNY   86  59  39 S10       30.06F HX  85              .
 4PM EDT MAY 31 2013 PTSUNNY   86  58  38 S14       30.04F HX  85              .
 5PM EDT MAY 31 2013 PTSUNNY   87  58  37 S13       30.02F HX  86              .
 6PM EDT MAY 31 2013 PTSUNNY   86  57  37 SW8       30.02S HX  85              .
 7PM EDT MAY 31 2013 PTSUNNY   86  57  37 S9        30.01F HX  85              .
